,link,type,year
197,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/26BronxSupremeCourtDistrict12Recap.pdf,General,2006
198,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/27CrossoverSupremeCourtDistrict2Recap.pdf,General,2006
199,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/28KingsSupremeCourtDistrict2Recap.pdf,General,2006
200,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/29RichmondSupremeCourtDistrict2Recap.pdf,General,2006
201,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/30QueensSupremeCourtDistrict11Recap.pdf,General,2006
202,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/31NYCivilCourtCountywide.pdf,General,2006
203,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/32BronxCivilCourtCountywideRecap.pdf,General,2006
204,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/33KingsCivilCourtCountywideRecap.pdf,General,2006
205,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/34RichmondCivilCourtCountywideRecap.pdf,General,2006
206,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/35Queens5CongressRecap.pdf,General,2006
207,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/36Queens6CongressRecap.pdf,General,2006
208,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/37Crossover7CongressRecap.pdf,General,2006
209,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/38Bronx7CongressRecap.pdf,General,2006
210,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/39Queens7CongressRecap.pdf,General,2006
211,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/40Crossover8CongressRecap.pdf,General,2006
212,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/41NY8CongressRecap.pdf,General,2006
213,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/42Kings8CongressRecap.pdf,General,2006
214,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/43Crossover9CongressRecap.pdf,General,2006
215,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/44Kings9CongressRecap.pdf,General,2006
216,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/45Queens9CongressRecap.pdf,General,2006
217,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/46Kings10CongressRecap.pdf,General,2006
218,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/47Kings11CongressRecap.pdf,General,2006
219,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/48Crossover12CongressRecap.pdf,General,2006
220,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/49NY12CongressRecap.pdf,General,2006
221,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/50Kings12CongressRecap.pdf,General,2006
222,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/51Queens12CongressRecap.pdf,General,2006
223,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/52Crossover13CongressRecap.pdf,General,2006
